Unix Timestamp (UTC),Degrees (°C)
1579047749055,23.458000
1579047750055,23.458000
1579047751054,23.429000
1579047752054,23.458000
1579047753054,23.429000
1579047754054,23.429000
1579047755054,23.458000
1579047756054,23.458000
1579047757054,23.429000
1579047758053,23.458000
1579047759053,23.400000
1579047760053,23.429000
1579047761053,23.429000
1579047762053,23.429000
1579047763053,23.429000
1579047764052,23.458000
1579047765052,23.429000
1579047766052,23.429000
1579047767052,23.429000
1579047768052,23.429000
1579047769052,23.458000
1579047770052,23.429000
1579047771051,23.429000
1579047772051,23.429000
1579047773051,23.429000
1579047774051,23.458000
1579047775051,23.458000
1579047776051,23.429000
1579047777050,23.429000
1579047778050,23.458000
1579047779050,23.429000
1579047780050,23.458000
1579047781050,23.458000
1579047782050,23.429000
1579047783049,23.429000
1579047784049,23.458000
1579047785049,23.458000
1579047786049,23.429000
1579047787049,23.429000
1579047788049,23.429000
1579047789049,23.429000
1579047790048,23.429000
1579047791048,23.458000
1579047792048,23.458000
1579047793048,23.429000
1579047794048,23.429000
1579047795048,23.458000
1579047796047,23.429000
1579047797047,23.429000
1579047798047,23.429000
1579047799047,23.429000
1579047800047,23.429000
1579047801047,23.429000
1579047802047,23.429000
1579047803046,23.458000
1579047804046,23.429000
1579047805046,23.429000
1579047806046,23.429000
1579047807046,23.429000
1579047808046,23.429000
1579047809045,23.429000
1579047810045,23.458000
1579047811045,23.429000
1579047812045,23.458000
1579047813045,23.458000
1579047814045,23.458000
1579047815045,23.429000
1579047816045,23.458000
1579047817045,23.429000
1579047818045,23.429000
1579047819045,23.429000
1579047820045,23.429000
1579047821045,23.429000
1579047822045,23.458000
1579047823045,23.429000
1579047824045,23.429000
1579047825045,23.429000
1579047826046,23.429000
1579047827046,23.458000
1579047828046,23.429000
1579047829046,23.429000
1579047830046,23.458000
1579047831046,23.458000
1579047832046,23.429000
1579047833046,23.458000
1579047834046,23.458000
1579047835046,23.429000
1579047836047,23.429000
1579047837047,23.458000
1579047838047,23.429000
1579047839047,23.429000
1579047840047,23.429000
1579047841047,23.429000
1579047842047,23.429000
1579047843047,23.429000
1579047844047,23.429000
1579047845047,23.458000
1579047846047,23.458000
1579047847048,23.429000
1579047848048,23.429000
1579047849048,23.458000
1579047850048,23.458000
1579047851048,23.458000
1579047852048,23.458000
1579047853048,23.458000
1579047854048,23.458000
1579047855048,23.429000
1579047856048,23.458000
1579047857049,23.429000
1579047858049,23.429000
1579047859049,23.429000
1579047860049,23.429000
1579047861049,23.429000
1579047862049,23.429000
1579047863049,23.458000
1579047864049,23.429000
1579047865049,23.458000
1579047866049,23.429000
1579047867049,23.429000
1579047868050,23.429000
1579047869050,23.429000
1579047870050,23.458000
1579047871050,23.429000
1579047872050,23.458000
1579047873050,23.429000
1579047874050,23.429000
1579047875050,23.458000
1579047876050,23.458000
1579047877050,23.429000
1579047878051,23.458000
1579047879051,23.429000
1579047880051,23.458000
1579047881051,23.429000
1579047882051,23.429000
1579047883051,23.429000
1579047884051,23.429000
1579047885051,23.429000
1579047886051,23.429000
1579047887051,23.429000
1579047888052,23.429000
1579047889052,23.458000
1579047890052,23.429000
1579047891052,23.429000
1579047892052,23.458000
1579047893052,23.429000
1579047894052,23.429000
1579047895052,23.429000
